"","country_territory_area","date_start","npi_label","stage_label"
"1","Afghanistan","07/03/2020","2.1_Environmental measures__Cleaning and disinfecting surfaces and objects","modification/extension"
"2","Afghanistan","07/05/2020","1.5_Individual measures__Using other personal protective equipment","new"
"3","Afghanistan","06/06/2020","1.4_Individual measures__Wearing a mask","modification/extension"
"4","Afghanistan","16/03/2020","5.9_International travel measures__Closing international land borders","modification/extension"
"5","Afghanistan","04/06/2020","5.9_International travel measures__Closing international land borders","phase-out/finish"
"6","Afghanistan","24/06/2020","5.5_International travel measures__Entry screening and isolation or quarantine","modification/extension"
"7","Afghanistan","24/07/2020","5.5_International travel measures__Entry screening and isolation or quarantine","phase-out/finish"
"8","Afghanistan","24/06/2020","5.1_International travel measures__Providing travel advice or warning","phase-out/finish"
"9","Afghanistan","23/02/2020","5.3_International travel measures__Restricting entry","new"
"10","Afghanistan","24/06/2020","5.7_International travel measures__Suspending or restricting international flights","phase-out/finish"
"11","Afghanistan","06/02/2020","8.1_Other measures__Legal and policy regulations","new"
"12","Afghanistan","12/02/2020","8.1_Other measures__Legal and policy regulations","new"
"13","Afghanistan","20/02/2020","8.1_Other measures__Legal and policy regulations","new"
"14","Afghanistan","06/06/2020","8.1_Other measures__Legal and policy regulations","new"
"15","Afghanistan","07/06/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"16","Afghanistan","07/06/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","modification/extension"
"17","Afghanistan","14/03/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","new"
"18","Afghanistan","18/03/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","new"
"19","Afghanistan","22/03/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","new"
"20","Afghanistan","05/04/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","new"
"21","Afghanistan","07/06/2020","4.2.1_Social and physical distancing measures_Offices, businesses, institutions and operations_Adapting","modification/extension"
"22","Afghanistan","24/07/2020","4.1.2_Social and physical distancing measures_School measures_Closing","phase-out/finish"
"23","Afghanistan","31/03/2020","4.4.2_Social and physical distancing measures_Special populations_Protecting populations in closed settings","new"
"24","Afghanistan","04/05/2020","3.1.2_Surveillance and response measures_Detecting and isolating cases_Active case detection","new"
"25","Afghanistan","13/02/2020","3.1.1_Surveillance and response measures_Detecting and isolating cases_Passive case detection","modification/extension"
"26","Afghanistan","06/06/2020","3.1.1_Surveillance and response measures_Detecting and isolating cases_Passive case detection","modification/extension"
"27","Afghanistan","18/07/2020","3.1.1_Surveillance and response measures_Detecting and isolating cases_Passive case detection","new"
"28","Afghanistan","24/02/2020","3.2.1_Surveillance and response measures_Tracing and quarantining contacts_Contact tracing","new"
"29","Afghanistan","28/03/2020","3.2.2_Surveillance and response measures_Tracing and quarantining contacts_Quarantine of contacts","new"
"30","Afghanistan","30/03/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","new"
"31","Afghanistan","30/03/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","new"
"32","Afghanistan","19/03/2020","5.5_International travel measures__Entry screening and isolation or quarantine","new"
"33","Afghanistan","20/03/2020","8.1_Other measures__Legal and policy regulations","modification/extension"
"34","Afghanistan","23/02/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","new"
"35","Afghanistan","24/02/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","new"
"36","Afghanistan","01/03/2020","4.3.3_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, closing, restricting or adapting public gatherings outside the home","new"
"37","Afghanistan","01/03/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","new"
"38","Afghanistan","01/03/2020","4.1.2_Social and physical distancing measures_School measures_Closing","new"
"39","Afghanistan","26/03/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","new"
"40","Afghanistan","25/03/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","new"
"41","Afghanistan","25/03/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","new"
"42","Afghanistan","26/03/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","new"
"43","Afghanistan","11/04/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","new"
"44","Afghanistan","24/03/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","new"
"45","Afghanistan","25/04/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"46","Afghanistan","21/05/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","phase-out/finish"
"47","Afghanistan","21/05/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"48","Afghanistan","24/06/2020","4.3.3_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, closing, restricting or adapting public gatherings outside the home","modification/extension"
"49","Afghanistan","21/04/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","modification/extension"
"50","Afghanistan","22/04/2020","4.1.2_Social and physical distancing measures_School measures_Closing","new"
"51","Afghanistan","26/03/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","new"
"52","Afghanistan","26/03/2020","4.2.2_Social and physical distancing measures_Offices, businesses, institutions and operations_Closing","new"
"53","Afghanistan","01/03/2020","5.5_International travel measures__Entry screening and isolation or quarantine","new"
"54","Albania","24/01/2020","2.1_Environmental measures__Cleaning and disinfecting surfaces and objects","new"
"55","Albania","15/07/2020","1.4_Individual measures__Wearing a mask","new"
"56","Albania","01/06/2020","5.9_International travel measures__Closing international land borders","phase-out/finish"
"57","Albania","22/06/2020","5.5_International travel measures__Entry screening and isolation or quarantine","modification/extension"
"58","Albania","23/03/2020","5.8_International travel measures__Suspending or restricting international ferries or ships","modification/extension"
"59","Albania","15/06/2020","5.8_International travel measures__Suspending or restricting international ferries or ships","phase-out/finish"
"60","Albania","31/01/2020","8.1_Other measures__Legal and policy regulations","new"
"61","Albania","08/03/2020","8.1_Other measures__Legal and policy regulations","new"
"62","Albania","11/03/2020","8.1_Other measures__Legal and policy regulations","new"
"63","Albania","11/03/2020","8.1_Other measures__Legal and policy regulations","new"
"64","Albania","22/03/2020","8.1_Other measures__Legal and policy regulations","new"
"65","Albania","22/03/2020","8.1_Other measures__Legal and policy regulations","new"
"66","Albania","30/04/2020","8.1_Other measures__Legal and policy regulations","modification/extension"
"67","Albania","28/07/2020","8.4.1_Other measures_Communications and engagement_General public awareness campaigns","new"
"68","Albania","18/04/2020","4.5.2_Social and physical distancing measures_Domestic travel_Stay-at-home order","modification/extension"
"69","Albania","26/06/2020","4.5.1_Social and physical distancing measures_Domestic travel_Suspending or restricting movement","modification/extension"
"70","Albania","26/06/2020","4.3.3_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, closing, restricting or adapting public gatherings outside the home","modification/extension"
"71","Albania","23/06/2020","4.3.4_Social and physical distancing measures_Gatherings, businesses and services_Cancelling, restricting or adapting mass gatherings","new"
